用户问句	名词短语
缩倍量阴是什么情况	缩倍量阴
缩量高换手是什么意思	缩量高换手
缩量和放量是什么意思	量和放量
缩量十字星说明什么	缩量十字星
缩量涨停意义	缩量
所属概念包含叶飞	所属概念_|_叶飞
所属概念包括叶飞概念	所属概念包括_|_叶飞概念
所属叶飞概念股	叶飞概念股
所属昨日竞价异动看多板块	板块
所谓的机构席位是什么意思	机构席位
所以人家说要开股东大会吗	股东大会
所有股票异动语音播报提醒	股票异动语音播报提醒
所有者权益代表什么	者权益
所有者权益合计是啥意思	者权益合计
索菲亚今天有庄家出货吗	索菲亚_|_庄家
索菱机构席位卖出金额	索菱机构席位_|_金额
他是不是庄股	庄股
他是庄股	庄股
他是庄股还是机构	庄股_|_机构
他是庄股吗？	庄股
他是庄股嘛！	庄股
他有几家上市公司	上市公司
他庄股了他	他庄股
它是庄股	庄股
它是庄股吗？	庄股
它是庄股票吗	庄股
塔牌集团孙公司	塔牌集团孙公司
踏空是什么意思	踏空
台基股份简介	台基股份
太极股份私募调研次数明细	太极股份_|_私募调研次数
太平鸟为何被港股通剔除	太平鸟_|_港股通
太平洋庄家盈亏	太平洋_|_庄家盈亏
太阳能000591庄家洗盘结束	太阳能_|_庄家
泰达股份量价异动	泰达股份_|_量价异动
泰晶科技异动提醒	泰晶科技异动提醒
泰永长征是庄股把	泰永长征_|_庄股
谭政	谭政
碳中和 碳达峰	 碳达峰
碳中和的意义	碳中和
唐球	唐球
唐狮	唐狮
唐晓斌	唐晓斌
唐颖	唐颖
特变电工：庄家是否在洗盘	特变电工_|_庄家
特拉斯的一级供应商有哪些上市公司	特拉斯_|_上市公司
特斯拉产业链相关上市公司有哪些	特斯拉产业链_|_上市公司
特斯拉供应链有哪些上市公司	特斯拉供应链_|_上市公司
特斯拉供应商上市公司有哪些	特斯拉供应商_|_上市公司
特斯拉一级供应商的上市公司有哪些	特斯拉一级供应商_|_上市公司
特斯拉一级供应商上市公司有哪些	特斯拉一级供应商_|_上市公司
腾邦格科	腾邦格科
腾湘	腾湘
腾讯参股的上市公司有哪些	腾讯_|_上市公司
